"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"
"0"	"F001_DSC0012"	"F"	"CMR12"	"CMR"	19	60	167	3.979166667
"1"	"F002_DSC0021"	"F"	"CMR12"	"CMR"	23	48	160	4.770833333
"2"	"F003_DSC0028"	"F"	"CMR12"	"CMR"	27	62	160	4.0625
"3"	"F010_DSC0087"	"F"	"CMR12"	"CMR"	23	65	157	3.458333333
"4"	"F011_DSC0093"	"F"	"CMR12"	"CMR"	22	64	165	3.333333333
"5"	"F012_DSC0099"	"F"	"CMR12"	"CMR"	18	58	162	4.333333333
"6"	"F016_DSC0122"	"F"	"CMR12"	"CMR"	22	55	153	5.375
"7"	"F017_DSC0130"	"F"	"CMR12"	"CMR"	21	63	166	3.458333333
"8"	"F018_DSC0135"	"F"	"CMR12"	"CMR"	23	63	165	4.375
"9"	"F022_DSC0179"	"F"	"CMR12"	"CMR"	20	72	159	4.020833333
"10"	"F023_DSC0184"	"F"	"CMR12"	"CMR"	20	65	164	3.479166667
"11"	"F024_DSC0187"	"F"	"CMR12"	"CMR"	20	63	153	4.083333333
"12"	"F025_DSC0197"	"F"	"CMR12"	"CMR"	38	102	166	4.270833333
"13"	"F026_DSC0202"	"F"	"CMR12"	"CMR"	54	74	161	2.541666667
"14"	"F027_DSC0210"	"F"	"CMR12"	"CMR"	44	79	160	3.479166667
"15"	"F034_DSC0253"	"F"	"CMR12"	"CMR"	22	54	150	3.791666667
"16"	"F035_DSC0260"	"F"	"CMR12"	"CMR"	21	57	166	3.25
"17"	"F036_DSC0266"	"F"	"CMR12"	"CMR"	23	53	166	4.583333333
"18"	"F040_DSC0285"	"F"	"CMR12"	"CMR"	21	61	156	4.770833333
"19"	"F041_DSC0290"	"F"	"CMR12"	"CMR"	21	86	165	2.270833333
"20"	"F042_DSC0297"	"F"	"CMR12"	"CMR"	29	57	150	3.020833333
"21"	"F046_DSC0343"	"F"	"CMR12"	"CMR"	45	76	160	3.8125
"22"	"F047_DSC0347"	"F"	"CMR12"	"CMR"	29	84	168	4.625
"23"	"F048_DSC0354"	"F"	"CMR12"	"CMR"	31	78	161	3.5625
"24"	"F052_DSC0370"	"F"	"CMR12"	"CMR"	19	64	164	4.3125
"25"	"F053_DSC0375"	"F"	"CMR12"	"CMR"	19	54	159	4.479166667
"26"	"F054_DSC0379"	"F"	"CMR12"	"CMR"	21	52	163	3.020833333
"27"	"F055_DSC0386"	"F"	"CMR12"	"CMR"	19	61	167	3.8125
"28"	"F056_DSC0390"	"F"	"CMR12"	"CMR"	17	77	158	3.375
"29"	"F057_DSC0393"	"F"	"CMR12"	"CMR"	17	59	164	4.541666667
"30"	"F064_DSC0444"	"F"	"CMR12"	"CMR"	23	48	156	3.625
"31"	"F065_DSC0453"	"F"	"CMR12"	"CMR"	20	61	158	3.166666667
"32"	"F066_DSC0458"	"F"	"CMR12"	"CMR"	33	78	158	3.541666667
"33"	"F070_DSC0476"	"F"	"CMR12"	"CMR"	29	128	167	3.229166667
"34"	"F071_DSC0479"	"F"	"CMR12"	"CMR"	34	94	158	3.604166667
"35"	"F072_DSC0484"	"F"	"CMR12"	"CMR"	34	94	170	3.729166667
"36"	"F073_DSC0488"	"F"	"CMR12"	"CMR"	20	65	159	3.4375
"37"	"F074_DSC0491"	"F"	"CMR12"	"CMR"	20	67	164	3.1875
"38"	"F075_DSC0494"	"F"	"CMR12"	"CMR"	19	51	151	3.958333333
"39"	"F082_DSC0517"	"F"	"CMR12"	"CMR"	20	55	155	4
"40"	"F083_DSC0520"	"F"	"CMR12"	"CMR"	18	57	166	4.125
"41"	"F084_DSC0523"	"F"	"CMR12"	"CMR"	18	65	161	3.208333333
"42"	"F085_DSC0547"	"F"	"CMR12"	"CMR"	19	60	158	4.854166667
"43"	"F086_DSC0552"	"F"	"CMR12"	"CMR"	19	59	161	4.875
"44"	"F087_DSC0555"	"F"	"CMR12"	"CMR"	22	63	155	4.354166667
"45"	"F091_DSC0568"	"F"	"CMR12"	"CMR"	41	64	160	3.145833333
"46"	"F092_DSC0571"	"F"	"CMR12"	"CMR"	33	87	167	3.416666667
"47"	"F093_DSC0575"	"F"	"CMR12"	"CMR"	40	63	153	2.708333333
"48"	"F097_DSC0590"	"F"	"CMR12"	"CMR"	20	69	164	3.6875
"49"	"F098_DSC0593"	"F"	"CMR12"	"CMR"	21	60	168	3.1875
"50"	"F099_DSC0600"	"F"	"CMR12"	"CMR"	20	58	152	5.104166667
"24"	"ID5_1_M_CMR13_DSC_0036"	"F"	"CMR13"	"CMR"	22	74.1	157	3.764705882
"33"	"ID6_1_F_CMR13_DSC_0040"	"F"	"CMR13"	"CMR"	23	59.4	160	3.411764706
"38"	"ID7_2_F_CMR13_DSC_0049"	"F"	"CMR13"	"CMR"	23	74.8	160	3.441176471
"44"	"ID8_1_F_CMR13_DSC_0044"	"F"	"CMR13"	"CMR"	23	55.7	162	3.852941176
"0"	"ID17_2_F_CMR13_DSC_0002"	"F"	"CMR13"	"CMR"	18	60.6	158.5	2.411764706
"1"	"ID18_1_F_CMR13_"	"F"	"CMR13"	"CMR"	21	86.3	162	2.264705882
"2"	"ID19_2_F_CMR13_DSC_0010"	"F"	"CMR13"	"CMR"	22	52.5	159	3.382352941
"3"	"ID20_1_F_CMR13_DSC_0013"	"F"	"CMR13"	"CMR"	22	63	161	4.424242424
"4"	"ID25_1_F_CMR13_DSC_0034"	"F"	"CMR13"	"CMR"	23	65.5	169.5	1.970588235
"5"	"ID26_1_F_CMR13_DSC_0041"	"F"	"CMR13"	"CMR"	18	56.1	163.5	3.058823529
"6"	"ID27_2_F_CMR13_DSC_0050"	"F"	"CMR13"	"CMR"	25	57.2	151.5	2.558823529
"7"	"ID28_2_F_CMR13_DSC_0046"	"F"	"CMR13"	"CMR"	21	50.3	149.5	3.823529412
"8"	"ID33_1_F_CMR13_DSC_0187"	"F"	"CMR13"	"CMR"	21	54	158.5	3.735294118
"9"	"ID34_2_F_CMR13_DSC_0180"	"F"	"CMR13"	"CMR"	21	49.7	163.5	2.294117647
"10"	"ID35_1_F_CMR13_DSC_0183"	"F"	"CMR13"	"CMR"	18	69.9	154.5	2.970588235
"11"	"ID36_2_F_CMR13_DSC_0176"	"F"	"CMR13"	"CMR"	20	50	161	4.264705882
"12"	"ID37_1_F_CMR13_DSC_0171"	"F"	"CMR13"	"CMR"	22	49.6	160.5	1.764705882
"13"	"ID38_1_F_CMR13_DSC_0158"	"F"	"CMR13"	"CMR"	22	79.6	163	4.147058824
"14"	"ID39_1_F_CMR13_DSC_0162"	"F"	"CMR13"	"CMR"	22	68.7	169.5	3.470588235
"15"	"ID40_1_F_CMR13_DSC_0166"	"F"	"CMR13"	"CMR"	20	54.6	164	1.882352941
"16"	"ID41_2_F_CMR13_DSC_0204"	"F"	"CMR13"	"CMR"	20	62.3	155	2.909090909
"17"	"ID42_2_F_CMR13_DSC_0200"	"F"	"CMR13"	"CMR"	25	70	156.5	2.705882353
"18"	"ID43_1_F_CMR13_DSC_0191"	"F"	"CMR13"	"CMR"	24	54.6	169.5	2.970588235
"19"	"ID44_2_F_CMR13_DSC_0196"	"F"	"CMR13"	"CMR"	20	94	162	3.117647059
"20"	"ID53_1_F_CMR13_DSC_0251"	"F"	"CMR13"	"CMR"	23	53.6	159	3.176470588
